ECS ID,OEIS ID,Description,Terms
560,A052615,FAIL,"0, 0, 0, 6, 72, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000, 2432902008176640000"
561,A052616,FAIL,"3, 2, 6, 12, 72, 240, 2160, 10080, 120960, 725760, 10886400, 79833600, 1437004800, 12454041600, 261534873600, 2615348736000, 62768369664000, 711374856192000, 19207121117184000, 243290200817664000, 7298706024529920000"
562,A052617,FAIL,"1, 4, 18, 114, 936, 9480, 114480, 1607760, 25764480, 464123520, 9286099200, 204334099200, 4904497382400, 127523158963200, 3570735629260800, 107123376552192000, 3427968972460032000, 116551300751069184000, 4195853229412196352000, 159442544362763870208000, 6377704207412562984960000"
563,A052618,FAIL,"1, 2, 8, 36, 216, 1440, 11520, 100800, 1008000, 10886400, 130636800, 1676505600, 23471078400, 348713164800, 5579410636800, 94152554496000, 1694745980928000, 32011868528640000, 640237370572800000, 13380961044971520000, 294381142989373440000"
564,A052619,FAIL,"0, 0, 0, 18, 72, 360, 2160, 15120, 120960, 1088640, 10886400, 119750400, 1437004800, 18681062400, 261534873600, 3923023104000, 62768369664000, 1067062284288000, 19207121117184000, 364935301226496000, 7298706024529920000"
565,A032184,FAIL,"1, 4, 16, 96, 768, 7680, 92160, 1290240, 20643840, 371589120, 7431782400, 163499212800, 3923981107200, 102023508787200, 2856658246041600, 85699747381248000, 2742391916199936000, 93241325150797824000, 3356687705428721664000, 127554132806291423232000, 5102165312251656929280000"
566,A052620,FAIL,"1, 1, 8, 66, 768, 11040, 190800, 3845520, 88583040, 2295578880, 66098592000, 2093556326400, 72337863628800, 2707751497651200, 109153235884492800, 4714413247095552000, 217193790828478464000, 10631538129843671040000, 551021291753778413568000, 30145448930088595783680000, 1736007214997185037107200000"
567,A052621,FAIL,"2, 1, 2, 6, 48, 120, 720, 5040, 80640, 362880, 3628800, 39916800, 958003200, 6227020800, 87178291200, 1307674368000, 41845579776000, 355687428096000, 6402373705728000, 121645100408832000, 4865804016353280000"
568,A052622,FAIL,"1, 2, 8, 60, 576, 6960, 100800, 1703520, 32901120, 714873600, 17258572800, 458324697600, 13277924352000, 416724685977600, 14084873439436800, 510058387238400000, 19702238017093632000, 808611973910028288000, 35138915893991669760000, 1611824099048913125376000, 77825752001673359523840000"
569,A052623,FAIL,"0, 1, 2, 18, 192, 2520, 39600, 725760, 15200640, 358162560, 9376819200, 270037152000, 8483597337600, 288734500454400, 10582834303641600, 415593298568448000, 17408598098411520000, 774797125808369664000, 36512013775538036736000, 1816204168179205668864000, 95097684856047886172160000"
570,A052624,FAIL,"1, 2, 8, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000, 2432902008176640000, 51090942171709440000"
571,A052625,FAIL,"1, 0, 0, 6, 48, 360, 3600, 45360, 645120, 10160640, 177811200, 3432844800, 72329241600, 1650160512000, 40537905408000, 1067062284288000, 29961435119616000, 893842506805248000, 28234468042260480000, 941411432063950848000, 33041242173046947840000"
572,A052626,FAIL,"3, 4, 12, 60, 432, 4080, 47520, 655200, 10402560, 186520320, 3723148800, 81829440000, 1962948556800, 51024208435200, 1428503479603200, 42852489039360000, 1371237803679744000, 46621373950255104000, 1678356657461772288000, 63777309693346529280000, 2551087521929844817920000"
573,A052627,FAIL,"1, 0, 0, 0, 0, 120, 720, 5040, 40320, 362880, 7257600, 119750400, 1916006400, 31135104000, 523069747200, 10461394944000, 230150688768000, 5335311421440000, 128047474114560000, 3162772610629632000, 82718668278005760000"
574,A052628,FAIL,"2, 2, 4, 18, 48, 240, 1440, 10080, 80640, 725760, 7257600, 79833600, 958003200, 12454041600, 174356582400, 2615348736000, 41845579776000, 711374856192000, 12804747411456000, 243290200817664000, 4865804016353280000"
575,A052629,FAIL,"1, 4, 34, 438, 7536, 162120, 4185360, 126060480, 4339278720, 168038478720, 7230318681600, 342214829510400, 17669683572710400, 988372892015308800, 59538455210371737600, 3842709218808235776000, 264549049753191211008000, 19351018506473732542464000, 1498735637909206397116416000, 122525740613732558137491456000, 10544015434156760521036431360000"
576,A052630,FAIL,"1, 4, 34, 432, 7320, 155040, 3940560, 116847360, 3959786880, 150965337600, 6394994323200, 297985937356800, 15147464243788800, 834153946904678400, 49469459519031552000, 3143339899991875584000, 213046423884047609856000, 15342145276913027629056000, 1169826665646256557907968000, 94153840273819753850142720000, 7976841354851157800016445440000"
577,A052631,FAIL,"0, 1, 4, 30, 288, 3480, 50400, 851760, 16450560, 357436800, 8629286400, 229162348800, 6638962176000, 208362342988800, 7042436719718400, 255029193619200000, 9851119008546816000, 404305986955014144000, 17569457946995834880000, 805912049524456562688000, 38912876000836679761920000"
578,A052632,FAIL,"1, 1, 2, 6, 24, 240, 2160, 20160, 201600, 2177280, 29030400, 439084800, 7185024000, 124540416000, 2266635571200, 44460928512000, 941525544960000, 21341245685760000, 512189896458240000, 12894380643336192000, 340606281144729600000"
579,A052633,FAIL,"0, 0, 2, 18, 96, 600, 4320, 35280, 322560, 3265920, 36288000, 439084800, 5748019200, 80951270400, 1220496076800, 19615115520000, 334764638208000, 6046686277632000, 115242726703104000, 2311256907767808000, 48658040163532800000"
580,A052634,FAIL,"1, 1, 6, 18, 168, 840, 10800, 75600, 1249920, 11249280, 228614400, 2514758400, 60833203200, 790831641600, 22230464256000, 333456963840000, 10691545632768000, 181756275757056000, 6549628300959744000, 124442937718235136000, 4980150410737582080000"
581,A052635,FAIL,"1, 0, 2, 18, 240, 3960, 78480, 1814400, 47940480, 1425029760, 47065536000, 1709915961600, 67769625369600, 2909762279424000, 134544087553075200, 6665534018567424000, 352236213903974400000, 19777072162153033728000, 1175746178210879987712000, 73781290837476496834560000, 4873660997968724205404160000"
582,A052636,FAIL,"2, 1, 6, 6, 120, 120, 6480, 5040, 685440, 362880, 119750400, 39916800, 31135104000, 6227020800, 11245999564800, 1307674368000, 5377157001216000, 355687428096000, 3284417711038464000, 121645100408832000, 2493724558381056000000"
583,A052637,FAIL,"0, 3, 12, 18, 72, 360, 2160, 15120, 120960, 1088640, 10886400, 119750400, 1437004800, 18681062400, 261534873600, 3923023104000, 62768369664000, 1067062284288000, 19207121117184000, 364935301226496000, 7298706024529920000"
584,A052638,FAIL,"0, 0, 2, 18, 96, 960, 11520, 161280, 2580480, 46448640, 928972800, 20437401600, 490497638400, 12752938598400, 357082280755200, 10712468422656000, 342798989524992000, 11655165643849728000, 419585963178590208000, 15944266600786427904000, 637770664031457116160000"
585,A052639,FAIL,"1, 0, 0, 6, 48, 480, 6480, 100800, 1774080, 35199360, 776563200, 18840729600, 498640665600, 14297239756800, 441470866636800, 14605415016192000, 515412006100992000, 19325209343311872000, 767215648278503424000, 32150800038054297600000, 1418216433430425108480000"
586,A052640,FAIL,"0, 1, 2, 18, 144, 1680, 22320, 352800, 6330240, 128096640, 2877638400, 71131737600, 1917922406400, 56024506137600, 1762396334899200, 59401108166400000, 2135568241078272000, 81575844571533312000, 3299386460762456064000, 140859430598808649728000, 6330165302172791439360000"
587,A052641,FAIL,"1, 2, 14, 132, 1704, 27360, 527760, 11874240, 305343360, 8833224960, 283928198400, 10038995366400, 387222498432000, 16180539927552000, 728132005791590400, 35106736224688128000, 1805508406018437120000, 98659182376425775104000, 5708198840012560539648000, 348611548380862372429824000, 22410979654601763049144320000"
588,A052642,FAIL,"0, 0, 4, 18, 48, 240, 1440, 10080, 80640, 725760, 7257600, 79833600, 958003200, 12454041600, 174356582400, 2615348736000, 41845579776000, 711374856192000, 12804747411456000, 243290200817664000, 4865804016353280000"
589,A052643,FAIL,"1, 4, 12, 36, 168, 960, 6480, 50400, 443520, 4354560, 47174400, 558835200, 7185024000, 99632332800, 1482030950400, 23538138624000, 397533007872000, 7113748561920000, 134449847820288000, 2676192208994304000, 55956746188062720000"
590,A052644,FAIL,"1, 5, 12, 42, 192, 1080, 7200, 55440, 483840, 4717440, 50803200, 598752000, 7664025600, 105859353600, 1569209241600, 24845812992000, 418455797760000, 7469435990016000, 140852221526016000, 2797837309403136000, 58389648196239360000"
591,A052645,FAIL,"0, 0, 4, 24, 48, 240, 1440, 10080, 80640, 725760, 7257600, 79833600, 958003200, 12454041600, 174356582400, 2615348736000, 41845579776000, 711374856192000, 12804747411456000, 243290200817664000, 4865804016353280000"
592,A052646,FAIL,"1, 2, 8, 42, 288, 2400, 23760, 272160, 3548160, 51891840, 841881600, 15008716800, 291711974400, 6139842508800, 139136552755200, 3377722892544000, 87457261731840000, 2405869763641344000, 70073980209192960000, 2154334728240414720000, 69717239946309795840000"
593,A052647,FAIL,"2, 2, 10, 48, 408, 3840, 46800, 645120, 10362240, 185794560, 3719520000, 81749606400, 1962469555200, 51011754393600, 1428416301312000, 42849873690624000, 1371216880889856000, 46620662575398912000, 1678350255088066560000, 63777066403145711616000, 2551085089027836641280000"
594,A034325,FAIL,"1, 1, 10, 150, 3000, 75000, 2250000, 78750000, 3150000000, 141750000000, 7087500000000, 389812500000000, 23388750000000000, 1520268750000000000, 106418812500000000000, 7981410937500000000000, 638512875000000000000000, 54273594375000000000000000, 4884623493750000000000000000, 464039231906250000000000000000, 46403923190625000000000000000000"
595,A052648,FAIL,"0, 5, 10, 30, 120, 600, 3600, 25200, 201600, 1814400, 18144000, 199584000, 2395008000, 31135104000, 435891456000, 6538371840000, 104613949440000, 1778437140480000, 32011868528640000, 608225502044160000, 12164510040883200000"
596,A052649,FAIL,"2, 5, 14, 54, 264, 1560, 10800, 85680, 766080, 7620480, 83462400, 997920000, 12933043200, 180583603200, 2702527027200, 43153254144000, 732297646080000, 13160434839552000, 249692574523392000, 4987449116762112000, 104614786351595520000"
597,A052650,FAIL,"1, 4, 22, 156, 1368, 14400, 177840, 2530080, 40844160, 738823680, 14816390400, 326439590400, 7840777190400, 203947385241600, 5711834461132800, 171375956623872000, 5484386299392000000, 186475536553033728000, 6713240961009623040000, 255105589420373852160000, 10204274667757125795840000"
598,A052651,FAIL,"1, 0, 0, 6, 48, 120, 1440, 25200, 282240, 2903040, 50803200, 958003200, 16286054400, 305124019200, 6887085004800, 160843947264000, 3807947759616000, 98169730154496000, 2746618319757312000, 79677540767784960000, 2408572988094873600000"
599,A052652,FAIL,"0, 0, 0, 0, 24, 240, 2880, 40320, 645120, 11612160, 232243200, 5109350400, 122624409600, 3188234649600, 89270570188800, 2678117105664000, 85699747381248000, 2913791410962432000, 104896490794647552000, 3986066650196606976000, 159442666007864279040000"
600,A052653,FAIL,"1, 1, 2, 18, 120, 1320, 15120, 216720, 3427200, 62052480, 1237420800, 27263174400, 653837184000, 17005993804800, 476080648243200, 14283727121664000, 457058345103360000, 15540339420942336000, 559445816780218368000, 21259062682748706816000, 850360074407940096000000"
601,A052654,FAIL,"1, 5, 42, 510, 8184, 163800, 3931920, 110098800, 3523201920, 126835632000, 5073428908800, 223230911904000, 10715084250393600, 557184387247488000, 31202325773037619200, 1872139547689931520000, 119816931073078407168000, 8147551313325019115520000, 586623694565803750023168000, 44583400787122730102169600000, 3566672062972251310181744640000"
602,A052655,FAIL,"0, 1, 6, 18, 96, 600, 4320, 35280, 322560, 3265920, 36288000, 439084800, 5748019200, 80951270400, 1220496076800, 19615115520000, 334764638208000, 6046686277632000, 115242726703104000, 2311256907767808000, 48658040163532800000"
603,A052656,FAIL,"0, 1, 8, 24, 192, 1920, 23040, 322560, 5160960, 92897280, 1857945600, 40874803200, 980995276800, 25505877196800, 714164561510400, 21424936845312000, 685597979049984000, 23310331287699456000, 839171926357180416000, 31888533201572855808000, 1275541328062914232320000"
604,A052657,FAIL,"0, 0, 2, 6, 48, 240, 2160, 15120, 161280, 1451520, 18144000, 199584000, 2874009600, 37362124800, 610248038400, 9153720576000, 167382319104000, 2845499424768000, 57621363351552000, 1094805903679488000, 24329020081766400000"
605,A052658,FAIL,"1, 1, 4, 30, 264, 3000, 40320, 635040, 11410560, 230791680, 5185555200, 128172844800, 3455996544000, 100952461209600, 3175730791833600, 107037070043904000, 3848161361780736000, 146994587721805824000, 5945289039754960896000, 253819922354152906752000, 11406563749255849574400000"
606,A052659,FAIL,"1, 1, 8, 84, 1152, 19680, 403200, 9636480, 263208960, 8087869440, 276137164800, 10370703974400, 424893579264000, 18858806481715200, 901431900123955200, 46165215285116928000, 2521886466187984896000, 146374402585679364096000, 8995562468861867458560000, 583542656264897241808896000, 39846785024856760076206080000"
607,A052660,FAIL,"2, 2, 6, 24, 144, 1080, 10080, 110880, 1411200, 20321280, 326592000, 5787936000, 112086374400, 2353813862400, 53265935923200, 1291982275584000, 33434618241024000, 919452001628160000, 26774726837354496000, 823050749366157312000, 26632978283509678080000"
608,A052661,FAIL,"2, 1, 4, 12, 72, 480, 4320, 45360, 564480, 7983360, 127008000, 2235340800, 43110144000, 902918016000, 20399720140800, 494300911104000, 12783824621568000, 351419178958848000, 10230993181753344000, 314452584556830720000, 10174396198194708480000"
609,A052662,FAIL,"1, 2, 8, 54, 480, 5400, 72720, 1144080, 20563200, 415860480, 9344160000, 230958604800, 6227499801600, 181909958630400, 5722470212659200, 192874123233792000, 6934147333521408000, 264875092391669760000, 10713040702805016576000, 457367695707448221696000, 20553917663404814008320000"
610,A052663,FAIL,"0, 0, 0, 0, 24, 240, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000, 2432902008176640000"
611,A052664,FAIL,"1, 1, 10, 60, 768, 9480, 161280, 2968560, 65036160, 1568004480, 42507763200, 1259454873600, 40850693452800, 1432712945664000, 54168492771993600, 2193096759549696000, 94738664609132544000, 4347659200973856768000, 211273620141976584192000, 10836664117481797410816000, 585104524857141661532160000"
612,A052665,FAIL,"0, 0, 2, 18, 168, 1800, 22320, 317520, 5120640, 92534400, 1854316800, 40834886400, 980516275200, 25499650176000, 714077383219200, 21423629170944000, 685577056260096000, 23309975600271360000, 839165523983474688000, 31888411556472446976000, 1275538895160906055680000"
613,A052666,FAIL,"1, 1, 8, 42, 456, 4800, 69840, 1093680, 20482560, 420577920, 9736070400, 245887488000, 6806133734400, 203555082931200, 6565920180019200, 226728504946944000, 8355118608764928000, 327047476385710080000, 13556853457788985344000, 593130926469729263616000, 27317431471274028564480000"
614,A051188,FAIL,"1, 7, 98, 2058, 57624, 2016840, 84707280, 4150656720, 232436776320, 14643516908160, 1025046183571200, 78928556134982400, 6629998715338521600, 603329883095805465600, 59126328543388935628800, 6208264497055838241024000, 695325623670253882994688000, 82743749216760212076367872000, 10425712401311786721622351872000, 1386619749374467633975772798976000, 194126764912425468756608191856640000"
615,A052667,FAIL,"1, 2, 8, 48, 408, 4320, 54720, 806400, 13587840, 257644800, 5428684800, 125817753600, 3181049625600, 87128475033600, 2570016024576000, 81222270345216000, 2738060898693120000, 98070849049485312000, 3719292542626332672000, 148888737096394014720000, 6273931205155796582400000"
616,A052668,FAIL,"1, 3, 18, 168, 2088, 32400, 603360, 13109040, 325503360, 9092684160, 282219033600, 9635476435200, 358879494758400, 14480588157235200, 629228583138355200, 29295027261916416000, 1454816084780298240000, 76762872942999699456000, 4288623592396326543360000, 252909845483503266938880000, 15699648779940313960611840000"
617,A052669,FAIL,"1, 1, 8, 66, 840, 12960, 242640, 5286960, 131765760, 3693755520, 115058361600, 3942342835200, 147360531225600, 5967185903078400, 260221271108198400, 12158477739023616000, 605960547270414336000, 32087688283562655744000, 1799103280756610949120000, 106476767152444874465280000, 6633305700115067498004480000"
618,A052670,FAIL,"0, 0, 2, 24, 384, 7680, 184320, 5160960, 165150720, 5945425920, 237817036800, 10463949619200, 502269581721600, 26118018249523200, 1462609021973299200, 87756541318397952000, 5616418644377468928000, 381916467817667887104000, 27497985682872087871488000, 2089846911898278678233088000, 167187752951862294258647040000"
619,A052671,FAIL,"0, 0, 0, 6, 24, 240, 2880, 40320, 645120, 11612160, 232243200, 5109350400, 122624409600, 3188234649600, 89270570188800, 2678117105664000, 85699747381248000, 2913791410962432000, 104896490794647552000, 3986066650196606976000, 159442666007864279040000"
620,A052672,FAIL,"1, 0, 4, 6, 120, 600, 10080, 95760, 1693440, 23950080, 475372800, 8821612800, 199743667200, 4533271142400, 116906088499200, 3112264995840000, 90679371374592000, 2757644630028288000, 89895729202126848000, 3067037916607881216000, 110799223256380538880000"
621,A052673,FAIL,"0, 3, 12, 54, 288, 1800, 12960, 105840, 967680, 9797760, 108864000, 1317254400, 17244057600, 242853811200, 3661488230400, 58845346560000, 1004293914624000, 18140058832896000, 345728180109312000, 6933770723303424000, 145974120490598400000"
622,A052674,FAIL,"1, 2, 16, 156, 2160, 36720, 753120, 17992800, 491500800, 15102339840, 515630707200, 19365156518400, 793401964185600, 35214960849868800, 1683239666985676800, 86204093846846976000, 4709107007890661376000, 273324248772505362432000, 16797372435596048744448000, 1089646518701615835856896000, 74405718449942073839124480000"
623,A052675,FAIL,"1, 4, 40, 600, 12000, 300000, 9000000, 315000000, 12600000000, 567000000000, 28350000000000, 1559250000000000, 93555000000000000, 6081075000000000000, 425675250000000000000, 31925643750000000000000, 2554051500000000000000000, 217094377500000000000000000, 19538493975000000000000000000, 1856156927625000000000000000000, 185615692762500000000000000000000"
624,A052676,FAIL,"0, 3, 12, 72, 576, 5760, 69120, 967680, 15482880, 278691840, 5573836800, 122624409600, 2942985830400, 76517631590400, 2142493684531200, 64274810535936000, 2056793937149952000, 69930993863098368000, 2517515779071541248000, 95665599604718567424000, 3826623984188742696960000"
625,A052677,FAIL,"1, 3, 22, 246, 3672, 68520, 1534320, 40083120, 1196737920, 40196580480, 1500156806400, 61585275628800, 2758072531737600, 133812468652262400, 6991529043750451200, 391391124208051968000, 23371064978815217664000, 1482774032774844665856000, 99608184476271359336448000, 7063113300987626433847296000, 527197953978026998159933440000"
626,A052678,FAIL,"0, 0, 0, 6, 72, 1080, 19440, 408240, 9797760, 264539520, 7936185600, 261894124800, 9428188492800, 367699351219200, 15443372751206400, 694951773804288000, 33357685142605824000, 1701241942272897024000, 91867064882736439296000, 5236422698315977039872000, 314185361898958622392320000"
627,A052679,FAIL,"1, 0, 0, 6, 0, 120, 720, 5040, 80640, 725760, 10886400, 159667200, 2395008000, 43589145600, 784604620800, 15692092416000, 334764638208000, 7469435990016000, 179266463760384000, 4500868715126784000, 119212198400655360000"
628,A052680,FAIL,"1, 2, 12, 120, 1632, 27840, 570240, 13628160, 372234240, 11437977600, 390516940800, 14666390323200, 600890263142400, 26670379902566400, 1274817218759884800, 65287473566515200000, 3566486043252228096000, 207004665320967241728000, 12721646444639277809664000, 825253938713043520192512000, 56351863799117630480056320000"
629,A052681,FAIL,"1, 0, 2, 18, 48, 840, 9360, 90720, 1653120, 25764480, 442713600, 9540115200, 201659673600, 4744989849600, 123531638630400, 3325415917824000, 97123590660096000, 3021564701675520000, 98526128957448192000, 3416037709680820224000, 124508626072455905280000"
630,A052682,FAIL,"1, 0, 6, 18, 288, 2520, 41040, 604800, 11733120, 236234880, 5530291200, 138790713600, 3855483878400, 115075344384000, 3716149018982400, 128239702246656000, 4727462529613824000, 185010460036706304000, 7669998882846203904000, 335550710771738542080000, 15454812941879443292160000"
631,A052683,FAIL,"0, 0, 0, 0, 48, 240, 1440, 10080, 80640, 725760, 7257600, 79833600, 958003200, 12454041600, 174356582400, 2615348736000, 41845579776000, 711374856192000, 12804747411456000, 243290200817664000, 4865804016353280000"
632,A052684,FAIL,"1, 0, 4, 6, 96, 480, 6480, 60480, 887040, 11975040, 203212800, 3512678400, 69455232000, 1444668825600, 32953394073600, 796373690112000, 20671716409344000, 567677135241216000, 16550136029306880000, 508476519708917760000, 16461014987323146240000"
633,A052685,FAIL,"1, 1, 4, 24, 168, 1680, 18720, 252000, 3830400, 65681280, 1251936000, 26225337600, 599710003200, 14851444608000, 396138155212800, 11320537003776000, 345079573622784000, 11176410365632512000, 383271699519700992000, 13873745346727698432000, 528635545748669399040000"
634,A052686,FAIL,"0, 0, 2, 24, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000, 2432902008176640000"
635,A052687,FAIL,"1, 2, 6, 18, 96, 480, 3600, 25200, 241920, 2177280, 25401600, 279417600, 3832012800, 49816166400, 784604620800, 11769069312000, 209227898880000, 3556874280960000, 70426110763008000, 1338096104497152000, 29194824098119680000"
636,A052688,FAIL,"0, 1, 2, 6, 48, 240, 1440, 15120, 120960, 1088640, 14515200, 159667200, 1916006400, 31135104000, 435891456000, 6538371840000, 125536739328000, 2134124568576000, 38414242234368000, 851515702861824000, 17030314057236480000"
637,A052689,FAIL,"1, 2, 4, 18, 72, 480, 2880, 25200, 201600, 2177280, 21772800, 279417600, 3353011200, 49816166400, 697426329600, 11769069312000, 188305108992000, 3556874280960000, 64023737057280000, 1338096104497152000, 26761922089943040000"
638,A052690,FAIL,"0, 1, 8, 54, 648, 9720, 174960, 3674160, 88179840, 2380855680, 71425670400, 2357047123200, 84853696435200, 3309294160972800, 138990354760857600, 6254565964238592000, 300219166283452416000, 15311177480456073216000, 826803583944627953664000, 47127804284843793358848000, 2827668257090627601530880000"
639,A052691,FAIL,"1, 1, 2, 12, 96, 840, 8640, 105840, 1491840, 23587200, 413683200, 7983360000, 168129561600, 3835844812800, 94239732787200, 2480658276096000, 69651967537152000, 2077925954936832000, 65637135231123456000, 2188517001455296512000, 76811582202152878080000"
640,A052692,FAIL,"1, 1, 2, 6, 24, 240, 2160, 20160, 201600, 2540160, 36288000, 558835200, 9101030400, 161902540800, 3138418483200, 65383718400000, 1443672502272000, 33790305669120000, 838710955450368000, 22017763173998592000, 608225502044160000000"
641,A001048,FAIL,"1, 2, 8, 30, 144, 840, 5760, 45360, 403200, 3991680, 43545600, 518918400, 6706022400, 93405312000, 1394852659200, 22230464256000, 376610217984000, 6758061133824000, 128047474114560000, 2554547108585472000, 53523844179886080000"
642,A052693,FAIL,"1, 2, 12, 102, 1176, 16920, 292320, 5891760, 135717120, 3517032960, 101268921600, 3207514464000, 110828037196800, 4148515981209600, 167232459621427200, 7222900141416960000, 332760193091149824000, 16288461412393218048000, 844213597176856338432000, 46185507276448866213888000, 2659717360526162361384960000"
643,A052694,FAIL,"1, 2, 8, 54, 384, 3840, 46080, 645120, 10321920, 185794560, 3715891200, 81749606400, 1961990553600, 51011754393600, 1428329123020800, 42849873690624000, 1371195958099968000, 46620662575398912000, 1678343852714360832000, 63777066403145711616000, 2551082656125828464640000"
644,A052695,FAIL,"2, 5, 34, 390, 6168, 123000, 2949840, 82580400, 2642451840, 95127177600, 3805076217600, 167423233824000, 8036313786547200, 417888298219392000, 23401744438751078400, 1404104662402041600000, 89862698330962292736000, 6110663485438373621760000, 439967770932355779649536000, 33437550590494103952138240000, 2675004047232229610146529280000"
645,A052696,FAIL,"1, 2, 12, 114, 1440, 22680, 428400, 9439920, 237726720, 6735052800, 212012640000, 7341338188800, 277317497318400, 11348577278438400, 500138456661043200, 23615780481925632000, 1189441481702842368000, 63652108785719021568000, 3606667413608068153344000, 215715072594685789052928000, 13580985380155983536947200000"
646,A052697,FAIL,"1, 0, 0, 6, 24, 0, 720, 10080, 40320, 362880, 10886400, 119750400, 958003200, 24908083200, 523069747200, 6538371840000, 125536739328000, 3556874280960000, 70426110763008000, 1338096104497152000, 38926432130826240000"
647,A051711,FAIL,"1, 2, 16, 192, 3072, 61440, 1474560, 41287680, 1321205760, 47563407360, 1902536294400, 83711596953600, 4018156653772800, 208944145996185600, 11700872175786393600, 702052330547183616000, 44931349155019751424000, 3055331742541343096832000, 219983885462976702971904000, 16718775295186229425864704000, 1337502023614898354069176320000"
648,A052698,FAIL,"0, 1, 8, 78, 960, 14520, 262080, 5508720, 132249600, 3571102080, 107136691200, 3535550726400, 127280305152000, 4963938127948800, 208485488552140800, 9381848292520704000, 450328738963783680000, 22966766042840395776000, 1240205372715755077632000, 70691706366443139833856000, 4241502384419490398208000000"
649,A052699,FAIL,"1, 1, 2, 6, 24, 240, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000, 2432902008176640000"
650,A052700,FAIL,"0, 1, 4, 36, 432, 6480, 116640, 2449440, 58786560, 1587237120, 47617113600, 1571364748800, 56569130956800, 2206196107315200, 92660236507238400, 4169710642825728000, 200146110855634944000, 10207451653637382144000, 551202389296418635776000, 31418536189895862239232000, 1885112171393751734353920000"
651,A052701,FAIL,"0, 1, 2, 8, 40, 224, 1344, 8448, 54912, 366080, 2489344, 17199104, 120393728, 852017152, 6085836800, 43818024960, 317680680960, 2317200261120, 16992801914880, 125210119372800, 926554883358720"
652,A003645,FAIL,"0, 0, 1, 4, 20, 112, 672, 4224, 27456, 183040, 1244672, 8599552, 60196864, 426008576, 3042918400, 21909012480, 158840340480, 1158600130560, 8496400957440, 62605059686400, 463277441679360"
653,A025225,square root singularity,"0, 2, 4, 16, 80, 448, 2688, 16896, 109824, 732160, 4978688, 34398208, 240787456, 1704034304, 12171673600, 87636049920, 635361361920, 4634400522240, 33985603829760, 250420238745600, 1853109766717440"
654,A052702,FAIL,"0, 0, 0, 0, 1, 2, 3, 6, 13, 26, 52, 108, 226, 472, 993, 2106, 4485, 9586, 20576, 44332, 95814"
655,A025227,FAIL,"0, 1, 2, 4, 12, 40, 144, 544, 2128, 8544, 35008, 145792, 615296, 2625792, 11311616, 49124352, 214838528, 945350144, 4182412288, 18593224704, 83015133184"
656,A052703,FAIL,"0, 0, 0, 1, 3, 12, 49, 210, 927, 4191, 19305, 90285, 427570, 2046324, 9881862, 48090824, 235619133, 1161257580, 5753365015, 28638093270, 143148398085"
657,A025227,FAIL,"0, 0, 1, 4, 12, 40, 144, 544, 2128, 8544, 35008, 145792, 615296, 2625792, 11311616, 49124352, 214838528, 945350144, 4182412288, 18593224704, 83015133184"
658,A052704,FAIL,"0, 1, 4, 32, 320, 3584, 43008, 540672, 7028736, 93716480, 1274544128, 17611882496, 246566354944, 3489862254592, 49855175065600, 717914520944640, 10409760553697280, 151860036312760320, 2227280532587151360, 32823081532863283200, 485781606686376591360"
659,A049140,FAIL,"0, 1, 1, 2, 6, 20, 70, 256, 969, 3762, 14894, 59904, 244088, 1005452, 4180096, 17516936, 73913705, 313774854, 1339162028, 5742691704, 24731501410"
660,A052705,FAIL,"0, 0, 1, 2, 7, 24, 89, 342, 1355, 5492, 22669, 94962, 402703, 1725424, 7458065, 32482798, 142414867, 628037612, 2783922197, 12397342698, 55436525591"
661,A052706,FAIL,"0, 0, 1, 2, 7, 26, 105, 444, 1944, 8734, 40040, 186550, 880750, 4204508, 20260498, 98419392, 481442805, 2369551218, 11725590555, 58303117680, 291151523355"
662,A052707,FAIL,"0, 2, 8, 64, 640, 7168, 86016, 1081344, 14057472, 187432960, 2549088256, 35223764992, 493132709888, 6979724509184, 99710350131200, 1435829041889280, 20819521107394560, 303720072625520640, 4454561065174302720, 65646163065726566400, 971563213372753182720"
663,A052708,FAIL,"0, 0, 1, 2, 5, 16, 56, 204, 768, 2970, 11726, 47060, 191412, 787304, 3269100, 13684864, 57691353, 244713654, 1043684478, 4472828400, 19252045120"
664,A052709,FAIL,"0, 1, 1, 3, 9, 31, 113, 431, 1697, 6847, 28161, 117631, 497665, 2128127, 9183489, 39940863, 174897665, 770452479, 3411959809, 15181264895, 67833868289"
665,A052710,FAIL,"0, 0, 0, 0, 1, 4, 14, 52, 201, 792, 3168, 12844, 52676, 218148, 910996, 3832072, 16222352, 69061200, 295477550, 1269863304, 5479456290"
